Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2012-09-22,Meal 4,1760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-23,Meal 1,383.3,3.8,1.3,0.0,0.0,0.0,0.0,625.0,0.0,69.6,5.4,5.0,15.4,0.0,0.0,0.0,0.0
2012-09-23,Meal 2,1545.0,86.5,30.0,0.0,0.0,0.0,0.0,900.2,0.0,140.0,12.0,37.0,56.0,0.0,0.0,0.0,0.0
2012-09-23,Meal 3,727.5,11.2,4.4,0.0,0.0,0.0,0.0,2.0,0.0,51.6,1.8,12.6,15.5,0.0,0.0,0.0,0.0
2012-09-23,Meal 4,592.0,30.0,4.5,1.8,21.0,0.0,0.0,450.0,0.0,47.2,5.3,21.9,4.5,36.0,0.0,0.0,0.0
2012-09-24,Meal 1,480.7,12.8,2.8,4.0,2.0,0.0,214.9,397.4,1086.8,6.0,0.0,0.0,80.7,0.0,0.0,0.0,0.0
2012-09-24,Meal 3,745.3,18.7,3.9,5.0,0.1,0.0,0.0,1766.5,763.0,81.5,4.0,9.5,63.1,34.2,133.0,3.9,13.2
2012-09-24,Meal 4,150.0,4.5,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,36.0,0.0,0.0,0.0
2012-09-25,Meal 1,680.1,13.9,3.4,3.6,1.8,0.0,193.2,761.7,977.0,50.4,3.5,3.2,82.6,0.0,0.0,0.0,0.0
2012-09-25,Meal 3,975.3,36.5,7.8,6.5,10.0,0.0,4.2,1122.1,0.0,63.4,5.0,2.4,92.1,0.0,0.0,0.0,0.0
2012-09-25,Meal 4,150.0,4.5,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,36.0,0.0,0.0,0.0
2012-09-26,Meal 2,997.5,31.3,7.3,8.1,6.3,0.0,229.5,1519.8,691.2,67.5,4.6,4.2,96.8,1.1,0.0,4.1,15.6
2012-09-26,Meal 3,1215.6,36.6,9.4,9.4,15.8,0.0,0.0,480.8,0.0,11.2,0.0,0.0,199.4,0.0,0.0,0.0,0.0
2012-09-26,Meal 4,400.0,12.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,0.0,96.0,0.0,0.0,0.0
2012-09-27,Meal 2,761.0,14.9,1.1,0.0,0.0,0.0,0.0,554.2,0.0,61.7,4.8,4.4,93.6,0.0,0.0,0.0,0.0
2012-09-27,Meal 3,1064.5,31.1,4.7,6.0,11.6,0.0,170.0,148.7,512.0,107.7,5.9,16.0,78.1,0.8,0.0,3.0,11.7
2012-09-27,Meal 4,990.2,38.4,17.9,1.6,3.6,0.0,7.6,1852.6,1500.0,66.7,10.3,70.1,26.3,78.0,0.0,4.3,10.8
2012-09-28,Meal 2,723.3,14.1,3.5,0.0,0.0,0.0,0.0,1425.0,0.0,110.0,9.8,8.4,35.9,0.0,0.0,0.0,0.0
2012-09-28,Meal 4,1721.8,6.6,3.9,0.0,0.0,0.0,2.9,112.5,0.0,18.8,3.4,16.0,3.4,24.0,0.0,1.7,4.2
2012-09-29,Meal 4,600.0,1.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,12.0,0.0,0.0,0.0
2012-10-01,Meal 4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-02,Meal 3,986.0,31.1,13.1,0.0,0.0,0.0,126.0,800.0,0.0,72.6,2.0,4.8,52.6,0.0,0.0,0.0,0.0
2012-10-02,Meal 4,621.6,12.6,3.2,0.9,6.4,0.0,0.0,815.6,4.4,54.4,3.2,29.4,4.6,24.0,0.0,4.4,13.2
2012-10-03,Meal 2,998.5,39.1,9.9,2.5,0.0,0.0,31.5,1311.2,36.0,83.6,9.4,10.5,76.1,3.6,5.4,1.8,9.0
2012-10-03,Meal 3,1168.9,59.7,9.9,15.1,21.2,0.0,0.0,4256.1,0.0,92.8,22.6,52.5,64.9,364.0,118.0,0.0,0.0
2012-10-03,Meal 4,450.0,13.6,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,0.0,108.0,0.0,0.0,0.0
2012-10-04,Meal 1,390.0,9.0,0.5,0.0,0.0,0.0,1.0,100.0,75.0,8.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0
2012-10-04,Meal 2,741.1,36.4,10.5,4.2,2.8,0.0,0.0,1861.8,616.9,41.9,5.2,23.6,55.6,172.2,53.0,131.0,18.2
2012-10-04,Meal 3,1173.2,54.1,11.7,0.0,9.0,0.0,0.0,2100.0,0.0,127.7,9.6,4.8,42.0,0.0,0.0,0.0,0.0
2012-10-04,Meal 4,1434.0,38.8,5.4,0.0,0.0,0.0,140.0,24.0,0.0,171.2,0.0,32.6,31.8,72.0,0.0,0.0,0.0
2012-10-05,Meal 1,502.2,9.9,2.4,2.4,1.2,0.0,140.0,562.7,708.0,38.9,2.7,2.5,60.4,0.0,0.0,0.0,0.0
2012-10-05,Meal 3,1158.2,39.5,7.6,5.2,6.8,0.0,136.0,2447.8,1909.6,104.3,6.9,7.2,76.4,0.6,0.0,2.4,9.2
2012-10-05,Meal 4,1442.4,48.6,15.6,1.4,13.3,0.0,0.0,388.9,0.0,139.6,3.6,94.3,15.7,54.0,0.0,0.0,0.0
2012-10-07,Meal 3,927.5,34.4,7.4,11.1,13.6,0.0,340.0,698.5,1024.0,11.1,0.0,1.2,129.7,1.6,0.0,6.0,23.1
2012-10-07,Meal 4,797.7,22.2,3.6,0.0,0.0,0.0,0.0,1424.0,0.0,116.3,11.1,8.5,30.9,0.0,0.0,0.0,0.0
